$results_rho
   type  rho  FWER     power
62 Bonf    9 0.014000000 0.219000000
63 Bonf   10 0.019000000 0.237800000
64 Bonf   20 0.022000000 0.152300000
65 Bonf   30 0.020000000 0.119333333
66 Bonf   40 0.018000000 0.105250000
67 Bonf   50 0.011000000 0.096280000
68 Bonf   60 0.014000000 0.090566667
69 Bonf   70 0.021000000 0.085714286
70 Bonf   80 0.017000000 0.080175000
71 Bonf   90 0.019000000 0.068488889
72 Bonf  100 0.015000000 0.068200000
73 Bonf  200 0.012000000 0.046570000
74 Bonf  300 0.012000000 0.037353333
75 Bonf  400 0.012000000 0.030740000
76 Bonf  500 0.017000000 0.030240000
77 Bonf  600 0.007000000 0.023136667
78 Bonf  700 0.019000000 0.029111429
79 Bonf  800 0.016000000 0.023765000
80 Bonf  900 0.010000000 0.022008889
81 Bonf 1000 0.023000000 0.020202000

$results_pi0
   type       pi0  FWER   power
1   GNZ 0.1666667 0.013 0.25420
2   GNZ 0.3333333 0.012 0.25550
3   GNZ 0.5000000 0.022 0.27400
4   GNZ 0.6666667 0.034 0.27000
5   GNZ 0.8333333 0.034 0.24200
6    MC 0.1666667 0.014 0.26040
7    MC 0.3333333 0.013 0.26025
8    MC 0.5000000 0.024 0.27800
9    MC 0.6666667 0.034 0.27450
10   MC 0.8333333 0.034 0.25000
11 Bonf 0.1666667 0.013 0.25380
12 Bonf 0.3333333 0.012 0.25550
13 Bonf 0.5000000 0.022 0.27400
14 Bonf 0.6666667 0.034 0.27000
15 Bonf 0.8333333 0.034 0.24100

$results_effect
   type effect  FWER      power
1   GNZ    0.1 0.028 0.04966667
2   GNZ    0.2 0.019 0.25733333
3   GNZ    0.3 0.022 0.63100000
4   GNZ    0.4 0.023 0.92533333
5    MC    0.1 0.030 0.05133333
6    MC    0.2 0.020 0.26300000
7    MC    0.3 0.024 0.63700000
8    MC    0.4 0.023 0.92833333
9  Bonf    0.1 0.027 0.04966667
10 Bonf    0.2 0.019 0.25733333
11 Bonf    0.3 0.022 0.63066667
12 Bonf    0.4 0.023 0.92533333

