$results_tau
   type  tau    FWER     power
5   GNZ 0.8333333 0.009 0.3130000
6    MC 0.1666667 0.005 0.3180000
7    MC 0.3333333 0.012 0.3302500
8    MC 0.5000000 0.012 0.3106667
9    MC 0.6666667 0.011 0.3260000
10   MC 0.8333333 0.009 0.3010000
11  phi 0.1666667 0.011 0.3876000
12  phi 0.3333333 0.021 0.4035000
13  phi 0.5000000 0.018 0.3793333
14  phi 0.6666667 0.018 0.3760000
15  phi 0.8333333 0.016 0.3760000
16 Bonf 0.1666667 0.004 0.2618000
17 Bonf 0.3333333 0.008 0.2755000
18 Bonf 0.5000000 0.008 0.2566667
19 Bonf 0.6666667 0.010 0.2725000
20 Bonf 0.8333333 0.005 0.2390000

$results_effect
   type effect  FWER      power
1   GNZ    0.1 0.013 0.07700000
2   GNZ    0.2 0.015 0.32933333
3   GNZ    0.3 0.013 0.70233333
4   GNZ    0.4 0.011 0.93933333
5    MC    0.1 0.013 0.07200000
6    MC    0.2 0.015 0.32766667
7    MC    0.3 0.011 0.70066667
8    MC    0.4 0.011 0.93633333
9   phi    0.1 0.017 0.09700000
10  phi    0.2 0.024 0.39833333
11  phi    0.3 0.018 0.76266667
12  phi    0.4 0.016 0.96066667
13 Bonf    0.1 0.008 0.05333333
14 Bonf    0.2 0.009 0.27333333
15 Bonf    0.3 0.008 0.63633333
16 Bonf    0.4 0.010 0.91500000

